lat,lng
37.49602745,127.1267885
37.46859918,127.0399386
37.67664241,127.0870455
37.56995262,127.0799576
37.50492437,126.9731322
37.66292069,127.0398531
37.54097168,126.9479643
37.53421477,127.1373057
37.55471844,127.1769115
37.53568758,127.083738
37.58968674,127.0172653
37.50548987,127.1067604
37.51181022,126.9155463
37.51773961,126.9292445
37.53392114,127.1385521
37.4782983,127.0130629
37.57079451,126.9999369
37.50648457,126.9897533
37.53083457,126.8882234
37.48387823,127.0763454
37.52103148,126.8819889
37.62996881,127.0424249
37.47838583,126.8954147
37.51986567,126.9826121
37.5181896,126.8447146
37.63122317,127.0179034
37.59124408,127.0123959
37.51322959,126.9293173
37.55813638,127.039015
37.56581051,127.0240322
37.47501522,126.8399233
37.49645101,126.9136976
37.54792445,126.9315774
37.55190074,127.1652401
37.52756075,126.8792188
37.65318457,127.0534831
37.49550824,127.1395519
37.50083442,126.9498891
37.52421245,127.0467723
37.60438284,127.027208
37.54918888,127.1562522
37.54472469,127.0904798
37.60064798,126.9230993
37.49704208,127.1460155
37.61839149,127.1035604
37.53112968,126.8638986
37.55926633,127.0747052
37.60861334,127.0235217
37.51366086,126.8554585
37.4864626,126.9044099
37.52153781,126.9616659
37.56461836,126.8115392
37.48432015,127.0519789
37.55766834,127.1648634
37.47376123,127.04857
37.50513637,126.9057438
37.43946592,126.9023081
37.50617965,126.8587701
37.53001942,127.0068415
37.64573856,127.0508525
37.5710301,126.8167459
37.56022366,126.8909723
37.53234148,126.9062071
37.49769627,127.1131819
37.52493562,126.9673669
37.54507777,127.0731013
37.50399254,127.0232483
37.56494621,127.0132241
37.5020982,127.1282404
37.52443586,126.9546387
37.55182032,127.135058
37.55591863,127.0098183
37.47588234,127.03537
37.47669603,126.9797307
37.5774924,126.9230741
37.5459107,127.1025635
37.54102735,126.837825
37.51499339,126.9067859
37.47878517,127.040091
37.47552196,127.1269584
37.57818924,126.9718123
37.65439833,127.0550629
37.49753399,126.8469428
37.57436163,126.9060887
37.45567212,127.0474904
37.52133287,126.8966979
37.54639717,127.1216924
37.67375396,127.0609348
37.54276527,127.0618852
37.58578506,126.8890992
37.52687091,126.9452615
37.54369777,127.1203363
37.54365911,126.8640299
37.50150363,126.9947765
37.67086143,127.0398494
37.53754894,126.9864516
37.50407275,127.0230215
37.65216224,127.0248193
37.49517867,127.0060412
37.47492275,127.1371513
37.60884505,126.9313294
37.51339661,126.8532883
37.55837502,126.8701886
37.53516402,126.9011139
37.60090993,127.0220528
37.57033935,127.0647926
37.57097464,127.0106596
37.49811138,126.8519494
37.54803715,127.0640393
37.52468126,126.8818569
37.67779256,127.1017362
37.54867943,126.8156368
37.56660917,126.9783937
37.53709933,127.1286779
37.59538645,127.0406544
37.55439939,126.8419636
37.44836408,126.903005
37.58363726,127.0535364
37.61265275,127.0374663
37.54532428,127.0449804
37.59137755,127.0699146
37.4998733,126.9204249
37.63808573,127.0775682
37.48447671,127.0927431
37.57043928,127.0320089
37.55208937,127.1559185
37.56091775,127.073996
37.57903399,127.0687851
37.52599016,126.8635575
37.57751069,127.0447733
37.60742649,127.0287409
37.5449023,126.9881445
37.58632638,127.0221007
37.60057944,127.1058074
37.48225915,127.1114178
37.55630222,127.1630806
37.60873782,127.0530351
37.53878703,127.1208479
37.58167512,126.7983464
